"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
Enfield,137094,Enfield Grammar School,Converter Academy,Applied GCE Double Award,Applied Business,22,0,0,0,0,1,0,5,5,3,3,3,2
Hertfordshire,137110,Longdean School,Converter Academy,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,137119,The Hundred of Hoo Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,8,0,2,0,1,3,0,2,0,0,0,0,0
Surrey,137137,Rydens Enterprise School and Sixth Form College,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,137139,St Aidan's Church of England High School,Converter Academy,Applied GCE Double Award,Applied Business,12,1,0,0,0,2,1,2,0,4,2,0,0
North Yorkshire,137139,St Aidan's Church of England High School,Converter Academy,Applied GCE Double Award,Health & Social Care,8,0,0,0,2,0,0,3,2,1,0,0,0
Kent,137154,The Abbey School,Converter Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,137162,The Stourport High School and Sixth Form Centre,Converter Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,137163,The Thomas Hardye School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137166,"The King's School, Grantham",Converter Academy,Applied GCE Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,137169,Vandyke Upper School and Community College,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,1,0,1,3,0,1,0,0
Coventry,137209,Tile Hill Wood School and Language College,Converter Academy,Applied GCE Double Award,Health & Social Care,10,0,0,0,0,5,0,2,2,1,0,0,0
Ealing,137221,Drayton Manor High School,Converter Academy,Applied GCE Double Award,Applied Business,7,0,0,0,0,0,1,2,3,1,0,0,0
Wiltshire,137230,Warminster Kingdown,Converter Academy,Applied GCE Double Award,Applied Art & Design,9,0,0,3,1,1,4,0,0,0,0,0,0
Havering,137233,Sacred Heart of Mary Girls' School,Converter Academy,Applied GCE Double Award,Applied Business,12,0,6,1,3,1,0,1,0,0,0,0,0
Cambridgeshire,137248,St Peter's School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,137254,Caldew School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Slough,137259,Baylis Court School,Converter Academy,Applied GCE Double Award,Applied Business,6,0,0,0,0,0,1,1,2,2,0,0,0
Essex,137260,Chelmer Valley High School,Converter Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137261,John Colet School,Converter Academy,Applied GCE Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,137263,Hazelwick School,Converter Academy,Applied GCE Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,137263,Hazelwick School,Converter Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137305,St Ivo School,Converter Academy,Applied GCE Double Award,Health & Social Care,14,0,1,0,0,1,1,4,6,0,1,0,0
Manchester,137309,The King David High School,Converter Academy,Applied GCE Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bournemouth,137349,St Peter's Catholic Comprehensive School,Converter Academy,Applied GCE Double Award,Health & Social Care,10,0,0,1,0,1,3,0,2,1,1,1,0
Buckinghamshire,137355,Waddesdon Church of England School,Converter Academy,Applied GCE Double Award,Applied Business,6,0,0,0,1,3,2,0,0,0,0,0,0
Staffordshire,137356,Biddulph High School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,137369,Trinity School,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,1,0,1,1,0,0,1,0,1,1,0
Barnet,137386,Mill Hill County High School,Converter Academy,Applied GCE Double Award,Applied ICT,7,0,0,0,0,0,0,1,2,2,2,0,0
Barnet,137388,Christ's College Finchley,Converter Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,137389,Chatham Grammar School for Girls,Converter Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,137407,Bishop Ramsey Church of England School,Converter Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,137424,Batley Girls' High School - Visual Arts College,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,137457,Cramlington Learning Village,Converter Academy,Applied GCE Double Award,Applied ICT,13,0,0,0,0,0,3,4,5,1,0,0,0
Northumberland,137457,Cramlington Learning Village,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,1,0,2,2,0,1,1,0,0,0
Central Bedfordshire,137462,Cedars Upper School,Converter Academy,Applied GCE Double Award,Applied Business,8,0,0,0,0,0,0,3,2,2,0,0,1
Cambridgeshire,137475,Hinchingbrooke School,Converter Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,137484,Homewood School and Sixth Form Centre,Converter Academy,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Calderdale,137521,The Brooksbank School,Converter Academy,Applied GCE Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,137524,Danum Academy,Converter Academy,Applied GCE Double Award,Applied Business,7,0,0,0,1,2,1,2,1,0,0,0,0
Doncaster,137524,Danum Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,26,0,1,0,1,7,2,6,2,1,1,3,2
Lincolnshire,137572,Bourne Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,1,3,1,1,0,1,0
Bradford,137576,The Samuel Lister Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,137576,The Samuel Lister Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,137612,Range High School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,137633,Bishopshalt School,Converter Academy,Applied GCE Double Award,Applied Business,8,0,0,0,1,0,1,1,3,2,0,0,0
Hillingdon,137633,Bishopshalt School,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,0,0,2,1,1,1,1,0
Westminster,137646,Quintin Kynaston Academy,Converter Academy,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,137678,The Hollyfield School and Sixth Form Centre,Converter Academy,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137690,Millbrook Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,137707,The Streetly Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,1,0,0,0,2,1,2,0,0,0
Newcastle upon Tyne,137708,Sacred Heart Catholic High School,Converter Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,137708,Sacred Heart Catholic High School,Converter Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,137733,Shoeburyness High School,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,2,0,1,0,1,1,0,1
Southend-on-Sea,137733,Shoeburyness High School,Converter Academy,Applied GCE Double Award,Travel & Tourism,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,137734,St Thomas More Roman Catholic Academy,Converter Academy,Applied GCE Double Award,Applied Business,8,0,2,0,1,0,0,2,1,1,1,0,0
Surrey,137735,The Beacon School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137752,Tewkesbury School,Converter Academy,Applied GCE Double Award,Applied Business,8,0,0,0,0,1,2,3,2,0,0,0,0
Gloucestershire,137752,Tewkesbury School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137779,Ely College,Converter Academy,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,0,0,2,0,1,1,2,2
Cambridgeshire,137779,Ely College,Converter Academy,Applied GCE Double Award,Travel & Tourism,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,137815,Weatherhead High School,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,1,1,2,0,1,0,1,0,0,0
Walsall,137830,Joseph Leckie Academy,Converter Academy,Applied GCE Double Award,Applied Business,12,0,0,0,0,3,1,3,1,4,0,0,0
Gateshead,137851,St Thomas More Catholic School,Converter Academy,Applied GCE Double Award,Applied Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gateshead,137851,St Thomas More Catholic School,Converter Academy,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,137880,Stanground Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Somerset,137884,Clevedon School,Converter Academy,Applied GCE Double Award,Applied Business,8,0,1,1,0,1,0,1,1,1,1,1,0
Hertfordshire,137895,The John Henry Newman Catholic School,Converter Academy,Applied GCE Double Award,Health & Social Care,7,1,0,2,2,0,0,1,0,0,0,1,0
Newcastle upon Tyne,137900,St Cuthbert's High School,Converter Academy,Applied GCE Double Award,Applied Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,137900,St Cuthbert's High School,Converter Academy,Applied GCE Double Award,Applied ICT,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derbyshire,137902,Netherthorpe School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,137913,"Notre Dame High School, Norwich",Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hillingdon,137925,The Douay Martyrs Catholic School,Converter Academy,Applied GCE Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hounslow,137940,Isleworth and Syon School for Boys,Converter Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,137948,Samuel Whitbread Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,8,0,0,1,1,1,4,0,0,1,0,0,0
Leicestershire,137983,Wreake Valley Academy,Converter Academy,Applied GCE Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,138042,Marlborough School,Converter Academy,Applied GCE Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,138120,Kenton School,Converter Academy,Applied GCE Double Award,Applied Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,138174,Belfairs Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,1,0,3,1,0,1,0
Nottinghamshire,138247,Outwood Academy Valley,Sponsored Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Nottinghamshire,138248,Outwood Academy Portland,Sponsored Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,138298,De Lisle Catholic School Loughborough Leicestershire,Converter Academy,Applied GCE Double Award,Applied Science,11,0,0,0,0,0,1,1,3,3,0,3,0
Cheshire West and Chester,138318,Neston High School,Converter Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,138336,Rodillian Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Nottingham,138341,The Trinity Catholic School,Converter Academy,Applied GCE Double Award,Applied Science,6,0,0,0,0,0,1,0,2,0,0,0,3
Hertfordshire,138352,Tring School,Converter Academy,Applied GCE Double Award,Travel & Tourism,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,138361,Notre Dame High School,Converter Academy,Applied GCE Double Award,Health & Social Care,9,0,1,0,1,1,1,4,1,0,0,0,0
Bournemouth,138385,Leaf Studio,Free School  Studio School,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,138505,Arrow Vale RSA Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,138524,Countesthorpe Community College,Converter Academy,Applied GCE Double Award,Applied Art & Design,7,0,0,0,1,1,0,0,1,4,0,0,0
Leicestershire,138524,Countesthorpe Community College,Converter Academy,Applied GCE Double Award,Health & Social Care,10,0,2,0,2,5,0,0,1,0,0,0,0
Central Bedfordshire,138571,Queensbury Academy,Sponsored Academy,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,138610,Alperton Community School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,138630,Devizes School,Converter Academy,Applied GCE Double Award,Health & Social Care,12,1,1,0,2,1,0,2,4,1,0,0,0
Oxfordshire,138667,Lord Williams's School,Converter Academy,Applied GCE Double Award,Applied Business,6,0,0,0,0,0,0,2,1,2,0,0,1
Oxfordshire,138667,Lord Williams's School,Converter Academy,Applied GCE Double Award,Health & Social Care,14,0,0,1,1,0,3,4,2,1,1,1,0
Bexley,138686,Cleeve Park School,Converter Academy,Applied GCE Double Award,Applied Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,138734,"Joyce Frankland Academy, Newport",Converter Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,138746,Newent Community School and Sixth Form Centre,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,138819,Belvoir High School and Melton Vale Post 16 Centre,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,138823,Charters School,Converter Academy,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,138829,Reepham High School and College,Converter Academy,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,138932,Kingsthorpe College,Converter Academy,Applied GCE Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,138932,Kingsthorpe College,Converter Academy,Applied GCE Double Award,Travel & Tourism,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,139031,St John Plessington Catholic College,Converter Academy,Applied GCE Double Award,Health & Social Care,10,0,0,0,2,0,1,4,1,1,1,0,0
Bournemouth,139037,Oak Academy,Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,139100,Elizabeth Woodville School,Converter Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,139100,Elizabeth Woodville School,Converter Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,139204,Downham Market Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,2,1,0,2,0,1,0,0,1
Brent,139319,Preston Manor School,Converter Academy,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,139335,Hemsworth Arts and Community Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,139335,Hemsworth Arts and Community Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,139345,Downend School,Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,139345,Downend School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,139517,St Thomas More Catholic School,Converter Academy,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,0,2,4,1,1,0,0,0
South Tyneside,139878,St Joseph's Catholic Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,1,0,2,3,0,0,1,0,0,0
Bradford,139975,Beckfoot School,Converter Academy,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,139975,Beckfoot School,Converter Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,139982,Grange Technology College,Converter Academy,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,140104,Eggbuckland Community College,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,0,3,1,2,0,0,0
